task,controller,seed,robot_count,steps,duration_s,success,aggregation_score,collision_rate,convergence_time_s,cooperative_push_fraction,coverage_fraction,coverage_score,coverage_time_s,delivery_time_s,largest_component_fraction,maximum_simultaneous_pushers,mean_command_effort,mean_distance_traveled_m,mean_nearest_neighbor_distance_m,mean_push_alignment,object_goal_distance_m,peak_coverage_fraction,polarization,pusher_utilization,swarm_radius_m,transport_progress,transport_score
aggregation,rules,1000,12,51,5.099999999999998,1,0.802354095915935,0.0,3.2000000000000015,,,,,,1.0,,0.6230625817372137,0.9276429357709101,,,,,0.7493855457526615,,0.5860430734564878,,
aggregation,rules,1001,12,117,11.699999999999974,1,0.8191685347413732,0.0,9.799999999999981,,,,,,1.0,,0.6316898618798992,2.194681922515397,,,,,0.7691582729422289,,0.5173962514741145,,
aggregation,rules,1002,12,117,11.699999999999974,1,0.8049399175899087,0.0,9.799999999999981,,,,,,1.0,,0.6573280045509403,2.392481462437464,,,,,0.6350722516537602,,0.5751230184349813,,
aggregation,rules,1003,12,308,30.800000000000168,1,0.8259102084799264,0.0,28.90000000000014,,,,,,1.0,,0.6751213430945128,6.6738944839751815,,,,,0.9407626767024391,,0.49134116357903107,,
aggregation,rules,1004,12,210,21.00000000000003,1,0.8125286094968742,0.0,19.1,,,,,,1.0,,0.6595675776986984,4.325210041281189,,,,,0.2262616692023941,,0.5438536239961487,,
aggregation,rules,1005,12,210,21.00000000000003,1,0.8152683670829081,0.0,19.1,,,,,,1.0,,0.6529951123909579,4.2341976652474616,,,,,0.377399467694612,,0.532838007396236,,
aggregation,rules,1006,12,63,6.299999999999994,1,0.8115323169748045,0.0,4.4,,,,,,1.0,,0.6188952481664163,1.1285996854026232,,,,,0.5138694844816206,,0.5478946147687153,,
aggregation,rules,1007,12,103,10.29999999999998,1,0.8250255381532663,0.0,8.399999999999986,,,,,,1.0,,0.6494051054304728,2.055428656454017,,,,,0.9792332379379738,,0.4947155576593658,,
aggregation,rules,1008,12,273,27.300000000000118,1,0.8152733931884028,0.0,25.40000000000009,,,,,,1.0,,0.6771914722635117,5.94003456475319,,,,,0.6749001265988959,,0.5328179282720976,,
aggregation,rules,1009,12,200,20.000000000000014,1,0.8148656894386652,0.0,18.099999999999987,,,,,,1.0,,0.6700898967961787,4.258017252797123,,,,,0.5583866363583863,,0.5344482164460247,,
aggregation,rules,1010,12,119,11.899999999999974,1,0.8224399458331965,0.0,9.99999999999998,,,,,,1.0,,0.6428984474559362,2.3235791580664613,,,,,0.984521676271796,,0.5046543539385353,,
aggregation,rules,1011,12,183,18.29999999999999,1,0.8240553826470665,0.0,16.399999999999963,,,,,,1.0,,0.6695304576862282,3.895542354006677,,,,,0.9801018709759025,,0.4984313023932142,,
aggregation,rules,1012,12,48,4.799999999999999,1,0.8056357531213595,0.0,2.9000000000000012,,,,,,1.0,,0.6351229262996204,0.9112484859352742,,,,,0.1732857707079417,,0.5722079936408726,,
aggregation,rules,1013,12,93,9.299999999999983,1,0.8253896757303711,0.0,7.39999999999999,,,,,,1.0,,0.6458079959592288,1.8334983139996972,,,,,0.9936316380406239,,0.49332502565741326,,
aggregation,rules,1014,12,56,5.599999999999996,1,0.82120921000071,0.0,3.700000000000002,,,,,,1.0,,0.6042054448198776,0.948955076237837,,,,,0.9605367535908074,,0.5094258519439923,,
aggregation,rules,1015,12,213,21.300000000000033,1,0.8108453277346194,0.0,19.400000000000006,,,,,,1.0,,0.6698549680997323,4.531746748240729,,,,,0.7793211667168798,,0.550692164662491,,
aggregation,rules,1016,12,126,12.599999999999971,1,0.8232209564611809,0.0,10.699999999999978,,,,,,1.0,,0.6537608103404239,2.550683760624642,,,,,0.9129967267063103,,0.5016400898457473,,
aggregation,rules,1017,12,158,15.79999999999996,1,0.8140427026034148,0.0,13.899999999999967,,,,,,1.0,,0.6565511906036324,3.2245709999460854,,,,,0.48019757703820143,,0.5377485461204402,,
aggregation,rules,1018,12,58,5.799999999999995,1,0.800779467443936,0.0,3.900000000000002,,,,,,1.0,,0.6257175971453536,1.0651207269832395,,,,,0.6316481505144141,,0.592761379724188,,
aggregation,rules,1019,12,118,11.799999999999974,1,0.8218580029239839,0.0,9.89999999999998,,,,,,1.0,,0.6551791122607877,2.399679593709847,,,,,0.975806379205324,,0.5069072168631701,,
aggregation,random,1000,12,450,45.00000000000037,0,0.28869733850422385,0.06888888888888889,45.00000000000037,,,,,,0.4166666666666667,,0.6680814391146499,8.723689708320546,,,,,0.26261879506147456,,1.8051559005034503,,
aggregation,random,1001,12,450,45.00000000000037,0,0.21854219362858956,0.08888888888888889,45.00000000000037,,,,,,0.25,,0.6535694642331054,8.562618108780203,,,,,0.4039206956970669,,1.3641873986175237,,
aggregation,random,1002,12,450,45.00000000000037,0,0.30961324755228536,0.06259259259259259,45.00000000000037,,,,,,0.4166666666666667,,0.6465413796415842,8.397658825524923,,,,,0.408339854091079,,1.5113012888640658,,
aggregation,random,1003,12,450,45.00000000000037,0,0.37147602148151826,0.03740740740740741,45.00000000000037,,,,,,0.5,,0.6568993666179418,8.607419160013631,,,,,0.1754978425850042,,1.4160142287025912,,
aggregation,random,1004,12,450,45.00000000000037,0,0.1896514536251893,0.05722222222222222,45.00000000000037,,,,,,0.25,,0.6534992056929507,8.494151916857982,,,,,0.2624922196851437,,1.8192302961027071,,
aggregation,random,1005,12,450,45.00000000000037,0,0.1926708627026749,0.09111111111111111,45.00000000000037,,,,,,0.25,,0.6578403676367299,8.551125904820749,,,,,0.09855186239425627,,1.6856891284913602,,
aggregation,random,1006,12,450,45.00000000000037,0,0.3716353237873019,0.085,45.00000000000037,,,,,,0.5,,0.662635369208812,8.712057555527808,,,,,0.045696581921518084,,1.3382211024861674,,
aggregation,random,1007,12,450,45.00000000000037,0,0.2656559033643096,0.09222222222222222,45.00000000000037,,,,,,0.3333333333333333,,0.649689977795654,8.346285873626007,,,,,0.4948925011706509,,1.3896249129754155,,
aggregation,random,1008,12,450,45.00000000000037,0,0.21172755758931192,0.056296296296296296,45.00000000000037,,,,,,0.25,,0.6546303635412664,8.630277170781582,,,,,0.27422740664020506,,1.4968430264703922,,
aggregation,random,1009,12,450,45.00000000000037,0,0.2996368364839239,0.04814814814814815,45.00000000000037,,,,,,0.4166666666666667,,0.6599085982191027,8.615094116095095,,,,,0.2908213425669007,,1.6777645362244349,,
aggregation,random,1010,12,450,45.00000000000037,0,0.36493935529734545,0.09425925925925926,45.00000000000037,,,,,,0.5,,0.651641865619291,8.342806239718717,,,,,0.3312263840722573,,1.3940830067704852,,
aggregation,random,1011,12,450,45.00000000000037,0,0.25358670510009323,0.09537037037037037,45.00000000000037,,,,,,0.3333333333333333,,0.6661326007482332,8.619325837303425,,,,,0.33659363080610016,,1.5252465504705046,,
aggregation,random,1012,12,450,45.00000000000037,0,0.47367954982972865,0.0725925925925926,45.00000000000037,,,,,,0.6666666666666666,,0.6604386002778043,8.569651424466949,,,,,0.09273732236136852,,1.3363569368084447,,
aggregation,random,1013,12,450,45.00000000000037,0,0.32966498720962073,0.11166666666666666,45.00000000000037,,,,,,0.4166666666666667,,0.6640343591876958,8.481076044768562,,,,,0.18468336865896123,,1.2236104841926148,,
aggregation,random,1014,12,450,45.00000000000037,0,0.20260155282822478,0.08185185185185186,45.00000000000037,,,,,,0.25,,0.6548766366774048,8.508005700761627,,,,,0.37654283023900725,,1.5642844911028704,,
aggregation,random,1015,12,450,45.00000000000037,0,0.4760072713922821,0.04425925925925926,45.00000000000037,,,,,,0.6666666666666666,,0.6447219393680954,8.377468376771477,,,,,0.20016586954794036,,1.3561307160884721,,
aggregation,random,1016,12,450,45.00000000000037,0,0.3476285545177154,0.05722222222222222,45.00000000000037,,,,,,0.4166666666666667,,0.6505176061024474,8.358952759923795,,,,,0.12239930701925202,,1.1403845153586418,,
aggregation,random,1017,12,450,45.00000000000037,0,0.26876715227183595,0.07296296296296297,45.00000000000037,,,,,,0.3333333333333333,,0.6729281406834077,8.823919993838686,,,,,0.48773921449154467,,1.3872225418787232,,
aggregation,random,1018,12,450,45.00000000000037,0,0.2079053047709189,0.07111111111111111,45.00000000000037,,,,,,0.25,,0.6629047869323458,8.576631149946033,,,,,0.5801666846632215,,1.5166793809253334,,
aggregation,random,1019,12,450,45.00000000000037,0,0.2109554940481362,0.07703703703703704,45.00000000000037,,,,,,0.25,,0.6554845973977177,8.458624563720045,,,,,0.13027486245008912,,1.4686440061388433,,
aggregation,stationary,1000,12,450,45.00000000000037,0,0.38866521432083817,0.0,45.00000000000037,,,,,,0.5,,0.0,0.0,,,,,0.37412451144649606,,1.2956733399930944,,
aggregation,stationary,1001,12,450,45.00000000000037,0,0.36357625406650734,0.0,45.00000000000037,,,,,,0.5,,0.0,0.0,,,,,0.5960841581034637,,1.581733078783747,,
aggregation,stationary,1002,12,450,45.00000000000037,0,0.2188957908504655,0.0,45.00000000000037,,,,,,0.25,,0.0,0.0,,,,,0.288706608725618,,1.5126277370266552,,
aggregation,stationary,1003,12,450,45.00000000000037,0,0.2783973915735358,0.0,45.00000000000037,,,,,,0.3333333333333333,,0.0,0.0,,,,,0.14553422859143186,,1.4015195463037051,,
aggregation,stationary,1004,12,450,45.00000000000037,0,0.21387164785559148,0.0,45.00000000000037,,,,,,0.25,,0.0,0.0,,,,,0.09043607934874105,,1.5777465225567318,,
aggregation,stationary,1005,12,450,45.00000000000037,0,0.21947966237158967,0.0,45.00000000000037,,,,,,0.25,,0.0,0.0,,,,,0.16455060379429037,,1.5053701999928804,,
aggregation,stationary,1006,12,450,45.00000000000037,0,0.229004633509154,0.0,45.00000000000037,,,,,,0.25,,0.0,0.0,,,,,0.2247746919366151,,1.394883918137831,,
aggregation,stationary,1007,12,450,45.00000000000037,0,0.3857655395676565,0.0,45.00000000000037,,,,,,0.5,,0.0,0.0,,,,,0.11916335465507004,,1.3242686419077814,,
aggregation,stationary,1008,12,450,45.00000000000037,0,0.37957972273929125,0.0,45.00000000000037,,,,,,0.5,,0.0,0.0,,,,,0.5003802940933796,,1.3886464945022363,,
aggregation,stationary,1009,12,450,45.00000000000037,0,0.21265728183809424,0.0,45.00000000000037,,,,,,0.25,,0.0,0.0,,,,,0.11308527059967977,,1.5942547921748065,,
aggregation,stationary,1010,12,450,45.00000000000037,0,0.24988510003466088,0.0,45.00000000000037,,,,,,0.3333333333333333,,0.0,0.0,,,,,0.2782738844688425,,1.7902982794776274,,
aggregation,stationary,1011,12,450,45.00000000000037,0,0.48281244065286555,0.0,45.00000000000037,,,,,,0.6666666666666666,,0.0,0.0,,,,,0.24453410011315432,,1.354402172912212,,
