task,controller,seed,robot_count,steps,duration_s,success,collision_rate,cooperative_push_fraction,delivery_time_s,maximum_simultaneous_pushers,mean_command_effort,mean_distance_traveled_m,mean_push_alignment,object_goal_distance_m,pusher_utilization,transport_progress,transport_score
transport,rules,1016,1,350,35.00000000000023,0,0.0,0.0,35.00000000000023,1.0,0.6657149197039095,6.588290318234369,0.4393077233048429,3.0,0.4742857142857143,0.0,0.0
transport,rules,1017,1,350,35.00000000000023,0,0.0,0.0,35.00000000000023,1.0,0.6164434548473476,5.5857089198360965,0.33966608581657987,3.0,0.39714285714285713,0.0,0.0
transport,rules,1018,1,350,35.00000000000023,0,0.0,0.0,35.00000000000023,1.0,0.6597456845106597,6.4545968402627025,0.44054611310580116,3.0,0.48857142857142855,0.0,0.0
transport,rules,1019,1,350,35.00000000000023,0,0.0,0.0,35.00000000000023,1.0,0.6318082165648296,5.904555818182977,0.3120126494535,3.0,0.44285714285714284,0.0,0.0
transport,rules,1000,2,350,35.00000000000023,0,0.7657142857142857,0.0,35.00000000000023,2.0,0.6029755394383491,4.0692143617132865,0.20402744992150115,3.0,0.4257142857142857,0.0,-0.07657142857142857
transport,rules,1001,2,350,35.00000000000023,0,0.35428571428571426,0.0,35.00000000000023,2.0,0.625721735894823,5.18588747827897,0.2516556394333595,3.0,0.4,0.0,-0.03542857142857143
transport,rules,1002,2,350,35.00000000000023,0,0.24857142857142858,0.0,35.00000000000023,2.0,0.6154916046332859,5.110145446746341,0.25760414469831155,3.0,0.4142857142857143,0.0,-0.02485714285714286
transport,rules,1003,2,350,35.00000000000023,0,0.5885714285714285,0.0,35.00000000000023,2.0,0.6113487596473647,4.604916406642277,0.21368417713144852,3.0,0.39714285714285713,0.0,-0.05885714285714286
transport,rules,1004,2,350,35.00000000000023,0,0.19142857142857142,0.0,35.00000000000023,2.0,0.6542552192432601,6.080695634206168,0.3997081008072683,3.0,0.42714285714285716,0.0,-0.019142857142857142
transport,rules,1005,2,350,35.00000000000023,0,0.18285714285714286,0.0,35.00000000000023,2.0,0.645871124285251,5.8646072616952,0.3424475109560659,3.0,0.3985714285714286,0.0,-0.018285714285714287
transport,rules,1006,2,350,35.00000000000023,0,0.26,0.0,35.00000000000023,2.0,0.6163980001020603,5.151820152753725,0.25086746329138687,3.0,0.37714285714285717,0.0,-0.026000000000000002
transport,rules,1007,2,350,35.00000000000023,0,0.3171428571428571,0.0,35.00000000000023,2.0,0.6189456843600365,5.091332958776334,0.2550153508799409,3.0,0.41285714285714287,0.0,-0.031714285714285716
transport,rules,1008,2,350,35.00000000000023,0,0.18,0.0,35.00000000000023,2.0,0.6442414695422857,5.855608902304357,0.31177050727210076,3.0,0.4042857142857143,0.0,-0.018
transport,rules,1009,2,350,35.00000000000023,0,0.6828571428571428,0.0,35.00000000000023,2.0,0.6002929645466817,4.027916554887249,0.20838254133701134,3.0,0.45,0.0,-0.06828571428571428
transport,rules,1010,2,350,35.00000000000023,0,0.5342857142857143,0.0,35.00000000000023,2.0,0.6431685121097744,5.276937200092405,0.32263612907857053,3.0,0.43142857142857144,0.0,-0.05342857142857143
transport,rules,1011,2,350,35.00000000000023,0,0.5457142857142857,0.0,35.00000000000023,2.0,0.6248999189189671,4.69595201424083,0.249538700709906,3.0,0.3942857142857143,0.0,-0.054571428571428576
transport,rules,1012,2,350,35.00000000000023,0,0.34285714285714286,0.0,35.00000000000023,2.0,0.6227890040042394,5.121471667840145,0.2895816186554854,3.0,0.43,0.0,-0.03428571428571429
transport,rules,1013,2,350,35.00000000000023,0,0.28285714285714286,0.0,35.00000000000023,2.0,0.6407451680741754,5.542303526516397,0.35545892470574253,3.0,0.43714285714285717,0.0,-0.02828571428571429
transport,rules,1014,2,350,35.00000000000023,0,0.18857142857142858,0.0,35.00000000000023,2.0,0.644534816970758,5.817617966050788,0.37316197000540796,3.0,0.41285714285714287,0.0,-0.01885714285714286
