task,controller,robot_count,episodes,success_rate,collision_rate_mean,collision_rate_std,cooperative_push_fraction_mean,cooperative_push_fraction_std,delivery_time_s_mean,delivery_time_s_std,maximum_simultaneous_pushers_mean,maximum_simultaneous_pushers_std,mean_command_effort_mean,mean_command_effort_std,mean_distance_traveled_m_mean,mean_distance_traveled_m_std,mean_duration_s,mean_push_alignment_mean,mean_push_alignment_std,object_goal_distance_m_mean,object_goal_distance_m_std,pusher_utilization_mean,pusher_utilization_std,transport_progress_mean,transport_progress_std,transport_score_mean,transport_score_std
transport,rules,1.0,20.0,0.0,0.0,0.0,0.0,0.0,35.00000000000023,0.0,1.0,0.0,0.6360817327229855,0.014315067156882643,5.990735398132542,0.29120543038330426,35.00000000000023,0.3506131136248765,0.04817352014131227,3.0,0.0,0.4267142857142857,0.030267851875262923,0.0,0.0,0.0,0.0
transport,rules,2.0,20.0,0.0,0.43314285714285716,0.21447686712233618,0.0,0.0,35.00000000000023,0.0,2.0,0.0,0.622879078703591,0.01627734037598814,5.00303672877888,0.6069779917794786,35.00000000000023,0.2722352605698103,0.061419615904606706,3.0,0.0,0.41450000000000004,0.017527092730736514,0.0,0.0,-0.043314285714285715,0.02144768671223362
transport,rules,3.0,20.0,0.0,0.44904761904761903,0.06806992536523766,0.020571428571428577,0.024521544047000375,35.00000000000023,0.0,3.0,0.0,0.6484698517016113,0.00899985907968105,5.226029177273746,0.21924539294258275,35.00000000000023,0.3077250151788691,0.027413270033308252,2.870198866740433,0.16685574375885118,0.43914285714285717,0.028598241387030057,0.04326704441985566,0.0556185812529504,-0.001637717484906244,0.05241209104319317
transport,rules,4.0,20.0,0.0,0.5113571428571428,0.08738955128314475,0.03371428571428571,0.02228937698839096,35.00000000000023,0.0,4.0,0.0,0.6747151520867303,0.01057733324250576,5.645390345382297,0.3686527883402761,35.00000000000023,0.35966693965717944,0.051664319512393496,2.804984481118964,0.15245526251894634,0.4055714285714286,0.02553868614075357,0.06500517296034514,0.05081842083964878,0.013869458674630849,0.05215142854107772
transport,rules,6.0,20.0,0.0,0.5181190476190476,0.06567709005985388,0.11342857142857143,0.03534206027511407,35.00000000000023,0.0,5.3,0.45825756949558405,0.7142156535368185,0.008385523465524267,6.557816849397779,0.2443161804381177,35.00000000000023,0.5009510305896161,0.03902703541308586,2.359537247822815,0.23046232256902774,0.346,0.023072595675428763,0.2134875840590616,0.0768207741896759,0.16167567929715682,0.07833880830220401
transport,rules,8.0,20.0,0.55,0.38160649451364936,0.08702943282835812,0.47586282900297794,0.15767389208356375,30.495000000000164,6.467571027828081,5.55,0.8046738469715541,0.7720331045980657,0.02497873159594714,6.950447626459798,1.088490411546962,30.495000000000164,0.7584832453074246,0.08496384484141313,0.6241412315216179,0.37885177417732274,0.33333371390960254,0.01854420334347347,0.7919529228261274,0.12628392472577424,0.7537922733747624,0.13092816740068874
transport,rules,12.0,20.0,1.0,0.1303831738083296,0.03134894156728786,0.8686772838324938,0.029821243616640142,13.769999999999968,0.8672369918309497,5.05,0.49749371855331004,0.8279652067615068,0.014118707148679679,3.9257386801665306,0.13941087971547317,13.769999999999968,0.9774792938682715,0.008000048448488832,0.33834409027755663,0.005730522212836173,0.27630721625207944,0.014786051438322458,0.8872186365741477,0.0019101740709453817,0.8741803191933147,0.003728485217814252
